Date,Adj Close
3/1/1998,2.323093
4/1/1998,2.467284
5/1/1998,2.460876
6/1/1998,2.739647
7/1/1998,2.146858
8/1/1998,1.618154
9/1/1998,1.85527
10/1/1998,2.22376
11/1/1998,2.364748
12/1/1998,2.87743
1/1/1999,2.669153
2/1/1999,2.710809
3/1/1999,2.87743
4/1/1999,3.787442
5/1/1999,3.781033
6/1/1999,3.851528
7/1/1999,2.383974
8/1/1999,2.345522
9/1/1999,2.540978
10/1/1999,2.78771
11/1/1999,2.723626
12/1/1999,2.48651
1/1/2000,3.281168
2/1/2000,3.601594
3/1/2000,4.594917
4/1/2000,3.100119
5/1/2000,3.486241
6/1/2000,3.915612
7/1/2000,3.845119
8/1/2000,3.755399
9/1/2000,4.107868
10/1/2000,4.582099
11/1/2000,4.671819
12/1/2000,4.53724
1/1/2001,5.120415
2/1/2001,4.883301
3/1/2001,4.351392
4/1/2001,3.968163
5/1/2001,4.003026
6/1/2001,4.716679
7/1/2001,3.699516
8/1/2001,3.459582
9/1/2001,3.06379
10/1/2001,3.51085
11/1/2001,3.633893
12/1/2001,3.90664
1/1/2002,4.874585
2/1/2002,4.71873
3/1/2002,4.743338
4/1/2002,4.679765
5/1/2002,4.979173
6/1/2002,5.096064
7/1/2002,4.025584
8/1/2002,4.121968
9/1/2002,4.236807
10/1/2002,4.88894
11/1/2002,4.458286
12/1/2002,4.179388
1/1/2003,4.659259
2/1/2003,4.808962
3/1/2003,5.282679
4/1/2003,4.821266
5/1/2003,5.059151
6/1/2003,5.03454
7/1/2003,5.604645
8/1/2003,5.822021
9/1/2003,5.906102
10/1/2003,6.480306
11/1/2003,6.597198
12/1/2003,6.80022
1/1/2004,7.507722
2/1/2004,7.669728
3/1/2004,7.766114
4/1/2004,7.981439
5/1/2004,8.325963
6/1/2004,8.918624
7/1/2004,9.636379
8/1/2004,8.867354
9/1/2004,9.322618
10/1/2004,10.844261
11/1/2004,11.537406
12/1/2004,12.788353
1/1/2005,11.073941
2/1/2005,10.62483
3/1/2005,10.59407
4/1/2005,10.155215
5/1/2005,11.23595
6/1/2005,10.59407
7/1/2005,10.776586
8/1/2005,10.054729
9/1/2005,10.274155
10/1/2005,11.598927
11/1/2005,12.488949
12/1/2005,12.308481
1/1/2006,13.001628
2/1/2006,14.8965
3/1/2006,15.433795
4/1/2006,15.286137
5/1/2006,14.621701
6/1/2006,15.48711
7/1/2006,14.039293
8/1/2006,12.718626
9/1/2006,13.965471
10/1/2006,15.48301
11/1/2006,14.474051
12/1/2006,14.527373
1/1/2007,14.330501
2/1/2007,12.67351
3/1/2007,12.862177
4/1/2007,12.722729
5/1/2007,11.816304
6/1/2007,10.762229
7/1/2007,10.942698
8/1/2007,11.29952
9/1/2007,10.745828
10/1/2007,10.942698
11/1/2007,9.593315
12/1/2007,8.395691
1/1/2008,7.755863
2/1/2008,7.374425
3/1/2008,7.177554
4/1/2008,6.65667
5/1/2008,7.460557
6/1/2008,6.455698
7/1/2008,6.025045
8/1/2008,6.381872
9/1/2008,6.098869
10/1/2008,5.385216
11/1/2008,3.662604
12/1/2008,3.879981
1/1/2009,3.871778
2/1/2009,3.752835
3/1/2009,4.556721
4/1/2009,5.930709
5/1/2009,5.902
6/1/2009,5.696928
7/1/2009,7.259585
8/1/2009,7.788671
9/1/2009,8.469513
10/1/2009,7.784569
11/1/2009,8.982199
12/1/2009,9.457965
1/1/2010,8.937082
2/1/2010,9.396443
3/1/2010,9.954245
4/1/2010,10.655591
5/1/2010,10.707021
6/1/2010,10.049463
7/1/2010,10.276921
8/1/2010,9.503569
9/1/2010,10.678133
10/1/2010,11.936103
11/1/2010,12.788685
12/1/2010,13.542479
1/1/2011,13.289583
2/1/2011,13.900743
3/1/2011,15.699347
4/1/2011,15.380688
5/1/2011,15.631361
6/1/2011,16.898819
7/1/2011,17.155567
8/1/2011,16.526522
9/1/2011,16.071173
10/1/2011,18.256235
11/1/2011,18.738932
12/1/2011,19.985006
1/1/2012,20.814634
2/1/2012,21.092634
3/1/2012,24.448538
4/1/2012,25.095949
5/1/2012,24.011095
6/1/2012,23.467926
7/1/2012,19.929249
8/1/2012,21.83503
9/1/2012,22.493343
10/1/2012,20.359787
11/1/2012,23.007887
12/1/2012,23.98736
1/1/2013,25.10107
2/1/2013,24.53303
3/1/2013,25.664486
