DATE,TB3MS
2/1/2009,0.3
3/1/2009,0.21
4/1/2009,0.16
5/1/2009,0.18
6/1/2009,0.18
7/1/2009,0.18
8/1/2009,0.17
9/1/2009,0.12
10/1/2009,0.07
11/1/2009,0.05
12/1/2009,0.05
1/1/2010,0.06
2/1/2010,0.11
3/1/2010,0.15
4/1/2010,0.16
5/1/2010,0.16
6/1/2010,0.12
7/1/2010,0.16
8/1/2010,0.16
9/1/2010,0.15
10/1/2010,0.13
11/1/2010,0.14
12/1/2010,0.14
1/1/2011,0.15
2/1/2011,0.13
3/1/2011,0.1
4/1/2011,0.06
5/1/2011,0.04
6/1/2011,0.04
7/1/2011,0.04
8/1/2011,0.02
9/1/2011,0.01
10/1/2011,0.02
11/1/2011,0.01
12/1/2011,0.01
1/1/2012,0.03
2/1/2012,0.09
3/1/2012,0.08
4/1/2012,0.08
5/1/2012,0.09
6/1/2012,0.09
7/1/2012,0.1
8/1/2012,0.1
9/1/2012,0.11
10/1/2012,0.1
11/1/2012,0.09
12/1/2012,0.07
1/1/2013,0.07
2/1/2013,0.1
3/1/2013,0.09
4/1/2013,0.06
5/1/2013,0.04
6/1/2013,0.05
7/1/2013,0.04
8/1/2013,0.04
9/1/2013,0.02
10/1/2013,0.05
11/1/2013,0.07
12/1/2013,0.07
1/1/2014,0.04
2/1/2014,0.05
3/1/2014,0.05
4/1/2014,0.03
5/1/2014,0.03
6/1/2014,0.04
7/1/2014,0.03
8/1/2014,0.03
9/1/2014,0.02
10/1/2014,0.02
11/1/2014,0.02
12/1/2014,0.03
1/1/2015,0.03
2/1/2015,0.02
3/1/2015,0.03
4/1/2015,0.02
5/1/2015,0.02
6/1/2015,0.02
7/1/2015,0.03
8/1/2015,0.07
9/1/2015,0.02
10/1/2015,0.02
11/1/2015,0.12
12/1/2015,0.23
1/1/2016,0.26
2/1/2016,0.31
3/1/2016,0.29
4/1/2016,0.23
5/1/2016,0.27
6/1/2016,0.27
7/1/2016,0.3
8/1/2016,0.3
9/1/2016,0.29
10/1/2016,0.33
11/1/2016,0.45
12/1/2016,0.51
1/1/2017,0.51
2/1/2017,0.52
3/1/2017,0.74
4/1/2017,0.8
5/1/2017,0.89
6/1/2017,0.98
7/1/2017,1.07
8/1/2017,1.01
9/1/2017,1.03
10/1/2017,1.07
11/1/2017,1.23
12/1/2017,1.32
1/1/2018,1.41
